WARNING: Base.String is deprecated, use AbstractString instead.
  likely near /home/cao27/SINGO/Plasmo.jl/src/Plasmo.jl:16
WARNING: Base.String is deprecated, use AbstractString instead.
  likely near /home/cao27/SINGO/Plasmo.jl/src/Plasmo.jl:16
WARNING: Base.String is deprecated, use AbstractString instead.
  likely near /home/cao27/SINGO/Plasmo.jl/src/Plasmo.jl:55
WARNING: Base.String is deprecated, use AbstractString instead.
  likely near /home/cao27/SINGO/Plasmo.jl/src/Plasmo.jl:66
WARNING: Base.String is deprecated, use AbstractString instead.
  likely near /home/cao27/SINGO/Param/param.jl:152
WARNING: Base.String is deprecated, use AbstractString instead.
  likely near /home/cao27/SINGO/Param/param.jl:152
WARNING: Base.String is deprecated, use AbstractString instead.
  likely near /home/cao27/SINGO/Param/param.jl:152
WARNING: Base.String is deprecated, use AbstractString instead.
  likely near /home/cao27/SINGO/Param/param.jl:152
WARNING: Base.String is deprecated, use AbstractString instead.
  likely near /home/cao27/SINGO/Param/param.jl:156
WARNING: Base.String is deprecated, use AbstractString instead.
  likely near /home/cao27/SINGO/Param/param.jl:156
presolving:
(round 1, fast)       93 del vars, 93 del conss, 0 add conss, 93 chg bounds, 0 chg sides, 0 chg coeffs, 470 upgd conss, 0 impls, 0 clqs
(round 2, fast)       93 del vars, 93 del conss, 0 add conss, 154 chg bounds, 0 chg sides, 0 chg coeffs, 470 upgd conss, 0 impls, 0 clqs
(round 3, fast)       93 del vars, 93 del conss, 0 add conss, 164 chg bounds, 0 chg sides, 0 chg coeffs, 470 upgd conss, 0 impls, 0 clqs
presolving (4 rounds: 4 fast, 1 medium, 1 exhaustive):
 93 deleted vars, 93 deleted constraints, 0 added constraints, 164 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 989 variables (0 bin, 0 int, 0 impl, 989 cont) and 987 constraints
    470 constraints of type <abspower>
    517 constraints of type <quadratic>
Presolving Time: 0.01

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************


  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |   916 |     - |6421k| 8.100000e-01 |      --      |    Inf 
q     1 |     0 |   916 |     - |6789k| 8.100000e-01 | 1.276282e+03 |  Large 
      1 |     0 |  1242 |     - |7193k| 8.100000e-01 | 1.276282e+03 |  Large 
      1 |     0 |  1242 |     - |7179k| 8.100000e-01 | 1.276282e+03 |  Large 
      1 |     0 |  2040 |     - |7605k| 8.100000e-01 | 1.276282e+03 |  Large 
      1 |     0 |  2483 |     - |7823k| 8.100000e-01 | 1.276282e+03 |  Large 
      1 |     0 |  2861 |     - |8009k| 8.100000e-01 | 1.276282e+03 |  Large 
      1 |     0 |  3304 |     - |8074k| 8.100399e-01 | 1.276282e+03 |  Large 
      1 |     0 |  3445 |     - |8154k| 8.101531e-01 | 1.276282e+03 |  Large 
      1 |     0 |  3550 |     - |8211k| 8.101870e-01 | 1.276282e+03 |  Large 
      1 |     0 |  3612 |     - |8242k| 8.102038e-01 | 1.276282e+03 |  Large 
      1 |     0 |  3663 |     - |8268k| 8.102045e-01 | 1.276282e+03 |  Large 
      1 |     0 |  3706 |     - |8291k| 8.102048e-01 | 1.276282e+03 |  Large 
      1 |     0 |  3738 |     - |6558k| 8.102050e-01 | 1.276282e+03 |  Large 
      1 |     0 | 10688 |     - |6543k| 8.102050e-01 | 1.276282e+03 |  Large 
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 | 10703 |     - |6551k| 8.102050e-01 | 1.276282e+03 |  Large 
      1 |     0 | 11021 |     - |6695k| 8.102375e-01 | 1.276282e+03 |  Large 
      1 |     0 | 11025 |     - |6187k| 8.102375e-01 | 1.276282e+03 |  Large 
      1 |     0 | 11025 |     - |6187k| 8.102375e-01 | 1.276282e+03 |  Large 
      1 |     0 | 11211 |     - |6285k| 8.102771e-01 | 1.276282e+03 |  Large 
      1 |     0 | 11488 |     - |6422k| 8.102774e-01 | 1.276282e+03 |  Large 
      1 |     0 | 11524 |     - |6437k| 8.102775e-01 | 1.276282e+03 |  Large 
      1 |     0 | 11562 |     - |6456k| 8.102775e-01 | 1.276282e+03 |  Large 
      1 |     0 | 11563 |     - |6457k| 8.102775e-01 | 1.276282e+03 |  Large 
